"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-01-09T22:17:59Z"
"Version","20250109221759"
"OfferCode","AWSB2Bi"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Input Format","Output Format","Region Code","serviceName","Type"
"2N4QSNGW8BZ2G72F","JRTCKXETXF","2N4QSNGW8BZ2G72F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-822:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-822:XML","X12-822","Default XML","us-east-1","AWS B2B Data Interchange",
"2ND9WQETZJBS2B5B","JRTCKXETXF","2ND9WQETZJBS2B5B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:JSON Mapping in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundMappings","JSON:JSON","Default JSON","Custom JSON","us-east-1","AWS B2B Data Interchange",
"2NDECDGGYUCN5NZT","JRTCKXETXF","2NDECDGGYUCN5NZT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-433 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-433","Default XML (Large)","X12-433","us-east-1","AWS B2B Data Interchange",
"2NDJ3Y4RNPPZGSDR","JRTCKXETXF","2NDJ3Y4RNPPZGSDR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-835_X221:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-835_X221:JSON","X12-835_X221","Default JSON","us-east-1","AWS B2B Data Interchange",
"2NYWSBAGKFSUW6A6","JRTCKXETXF","2NYWSBAGKFSUW6A6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-109:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-109:JSON","X12-109 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"2P76T62K5GXZ8AX7","JRTCKXETXF","2P76T62K5GXZ8AX7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-304 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","XML:X12-304","Default XML","X12-304","us-east-1","AWS B2B Data Interchange",
"2PV3YVMFTYRAN55Z","JRTCKXETXF","2PV3YVMFTYRAN55Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-854:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-854:JSON","X12-854 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"2PZNVH8EGV3KVYHF","JRTCKXETXF","2PZNVH8EGV3KVYHF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-141 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-141","Default XML (Large)","X12-141","us-east-1","AWS B2B Data Interchange",
"2QA4M79ASAWPW46Y","JRTCKXETXF","2QA4M79ASAWPW46Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-356 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-356","Default JSON (Large)","X12-356","us-east-1","AWS B2B Data Interchange",
"2QHX394KPXWCZN4T","JRTCKXETXF","2QHX394KPXWCZN4T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-205 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-205","Default JSON","X12-205","us-east-1","AWS B2B Data Interchange",
