"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-09-06T17:25:11Z"
"Version","20220906172511"
"OfferCode","AmazonDevOpsGuru"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","API Calls","Region Code","Resource Price Group","serviceName"
"PGAGBTQQ2UX7EJHU","JRTCKXETXF","PGAGBTQQ2UX7EJHU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-ElasticBeanstalk-Environment-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ElasticBeanstalk-Environment-GroupB","",,"us-east-1","Elastic Beanstalk-Environment-GroupB","Amazon DevOps Guru"
"PH267TFV9DAPTSYX","JRTCKXETXF","PH267TFV9DAPTSYX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-NATGateway-VPC-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","NATGateway-VPC-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"PPCNAYEATN2HAFHR","JRTCKXETXF","PPCNAYEATN2HAFHR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-APIGateway-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-APIGateway-GroupB","",,"us-east-1","APIGateway-GroupB","Amazon DevOps Guru"
"Q7GC4J589VYZBEYT","JRTCKXETXF","Q7GC4J589VYZBEYT.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-EC2-Instance-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","EC2-Instance-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"QGZU6EWUW8XGFVGH","JRTCKXETXF","QGZU6EWUW8XGFVGH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00004 per DevOps Guru API Call in US East (N. Virginia) Region","2022-09-01","0","Inf","API Calls","0.0000400000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-DevOpsGuru-APICalls","","DevOps Guru API Calls","us-east-1",,"Amazon DevOps Guru"
"RB6AGG83ZZC2PGME","JRTCKXETXF","RB6AGG83ZZC2PGME.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-RedShift-Node-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","RedShift-Node-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"RBK5H5FCBATNU58V","JRTCKXETXF","RBK5H5FCBATNU58V.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SageMaker-InvocationEndpoint-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","SageMaker-InvocationEndpoint-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"SMQU65Z95B2ZEGBD","JRTCKXETXF","SMQU65Z95B2ZEGBD.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Route53-HostedZone-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","Route 53-HostedZone-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"SXQ57MPXX559T9SM","JRTCKXETXF","SXQ57MPXX559T9SM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ResourceGroup-A-usagehours-Resource-Analysis-ZeroTier","",,"us-east-1","Resource Price Group A-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"TC8UVKXPMFVZN27B","JRTCKXETXF","TC8UVKXPMFVZN27B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-ELB-LoadBalancer-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ELB-LoadBalancer-GroupB","",,"us-east-1","ELB-LoadBalancer-GroupB","Amazon DevOps Guru"
