"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-03-11T17:14:13Z"
"Version","20220311171413"
"OfferCode","AmazonChimeDialInAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Calling Type","Country","PrimaryPlaceOfUse","Region Code","serviceName","Transaction Type"
"8RZ8746WZMZPTCBX","JRTCKXETXF","8RZ8746WZMZPTCBX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Cayman Islands","2022-03-01","0","Inf","Minute","0.0119100000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-KY-tollfree-inbound-mins","","Toll Free","Cayman Islands","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"8W6B5H7Y6BXYB4GY","JRTCKXETXF","8W6B5H7Y6BXYB4GY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Bahrain","2022-03-01","0","Inf","Minute","0.1765600000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-BH-tollfree-inbound-mins","","Toll Free","Bahrain","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"98WC5EW6VNUW9RSM","JRTCKXETXF","98WC5EW6VNUW9RSM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Poland","2022-03-01","0","Inf","Minute","0.0500000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-PL-tollfree-inbound-mins","","Toll Free","Poland","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"9A32JSJQZ4FBN4TA","JRTCKXETXF","9A32JSJQZ4FBN4TA.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Trinidad and Tobago","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-TT-toll-inbound-mins","","Toll","Trinidad and Tobago","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"A69BGPJBUXTCGU24","JRTCKXETXF","A69BGPJBUXTCGU24.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Australia","2022-03-01","0","Inf","Minute","0.0054460000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-AU-toll-inbound-mins","","Toll","Australia","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"AB5X4JSWA6KK37YG","JRTCKXETXF","AB5X4JSWA6KK37YG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Czech Republic","2022-03-01","0","Inf","Minute","0.0188730000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-CZ-toll-inbound-mins","","Toll","Czech Republic","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"ADPXMX89B296XHR9","JRTCKXETXF","ADPXMX89B296XHR9.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Sweden","2022-03-01","0","Inf","Minute","0.1668610000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-SE-tollfree-inbound-mins","","Toll Free","Sweden","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"AG79JKZFC445ZFGA","JRTCKXETXF","AG79JKZFC445ZFGA.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for New Zealand","2022-03-01","0","Inf","Minute","0.2315390000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-NZ-tollfree-inbound-mins","","Toll Free","New Zealand","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"AHTYHTMHT8M7D4AN","JRTCKXETXF","AHTYHTMHT8M7D4AN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Brazil","2022-03-01","0","Inf","Minute","0.3134770000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-BR-tollfree-inbound-mins","","Toll Free","Brazil","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"ANG9R4AFAPR8FZSR","JRTCKXETXF","ANG9R4AFAPR8FZSR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Italy","2022-03-01","0","Inf","Minute","0.3594300000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-IT-tollfree-inbound-mins","","Toll Free","Italy","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
