SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Calling Type,Country,Region Code,serviceName
AZZ93Q47QB6K4H6Y,JRTCKXETXF,AZZ93Q47QB6K4H6Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Canada,2022-03-01,0,Inf,Minute,0.0119100000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-CA-tollfree-inbound-mins,,Toll Free,Canada,us-east-1,Amazon Chime Dialin
B8GGURY6R3MF8WNZ,JRTCKXETXF,B8GGURY6R3MF8WNZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Belgium,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-BE-toll-inbound-mins,,Toll,Belgium,us-east-1,Amazon Chime Dialin
B8ZACYEHW48UEWG8,JRTCKXETXF,B8ZACYEHW48UEWG8.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Finland,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-FI-toll-inbound-mins,,Toll,Finland,us-east-1,Amazon Chime Dialin
BEAJ7S73AK4JVWW9,JRTCKXETXF,BEAJ7S73AK4JVWW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Portugal,2022-03-01,0,Inf,Minute,0.3016610000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-PT-tollfree-inbound-mins,,Toll Free,Portugal,us-east-1,Amazon Chime Dialin
BP8WKXSG59M7TX8W,JRTCKXETXF,BP8WKXSG59M7TX8W.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Latvia,2022-03-01,0,Inf,Minute,0.0087950000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LV-toll-inbound-mins,,Toll,Latvia,us-east-1,Amazon Chime Dialin
BW2N8Y52GRPHDEY4,JRTCKXETXF,BW2N8Y52GRPHDEY4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Argentina,2022-03-01,0,Inf,Minute,0.0566200000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-AR-toll-inbound-mins,,Toll,Argentina,us-east-1,Amazon Chime Dialin
BY9WMW4SDJ5323YJ,JRTCKXETXF,BY9WMW4SDJ5323YJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Italy,2022-03-01,0,Inf,Minute,0.3594300000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-IT-tollfree-inbound-mins,,Toll Free,Italy,us-east-1,Amazon Chime Dialin
C2EK9DWN5ACD6H7D,JRTCKXETXF,C2EK9DWN5ACD6H7D.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for France,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-FR-toll-inbound-mins,,Toll,France,us-east-1,Amazon Chime Dialin
C4VM4ZM7DMWGHAMH,JRTCKXETXF,C4VM4ZM7DMWGHAMH.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Lithuania,2022-03-01,0,Inf,Minute,0.0070360000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LT-toll-inbound-mins,,Toll,Lithuania,us-east-1,Amazon Chime Dialin
C7UGSTYPEKJNSF6P,JRTCKXETXF,C7UGSTYPEKJNSF6P.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Slovakia,2022-03-01,0,Inf,Minute,0.1860540000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-SK-tollfree-inbound-mins,,Toll Free,Slovakia,us-east-1,Amazon Chime Dialin
