SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Storage Media,Group,Group Description,usageType,operation,Alarm Type,Database Engine Type,Instance Configuration Type,Logs Destination,Region Code,serviceName,Type,Type Description,Version
BVBJDSKGFQUW2SCP,JRTCKXETXF,BVBJDSKGFQUW2SCP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5.00 per million Evidently events in US East (N. Virginia),2025-05-01,0,Inf,Events,0.0000050000,USD,,,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Evidently,CloudWatch Evidently events and eaus,USE1-CW:Evidently-event,evidently,,,,,us-east-1,AmazonCloudWatch,,,
CCC6XKS9YEDWTEX3,A429C66SYZ,CCC6XKS9YEDWTEX3.A429C66SYZ.ETY2894C67,OnDemand,Global,2025-05-01,0,100,Runs,0.0000000000,USD,,Canaries,AmazonCloudWatch,Any,AWS Region,,CW-MonthlyFree-Canaries,Monthly free usage of canaries,Global-CW:Canary-runs,,,,,,,AmazonCloudWatch,,,
CKEZWS3MG2W3A73X,JRTCKXETXF,CKEZWS3MG2W3A73X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per rule per month for CW-Rule-DynamoDB in US East (N. Virginia),2025-05-01,0,Inf,Rule-Hour,0.5000000000,USD,,Contributor Insights,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Rule-DynamoDB,CloudWatch Contributor Insights Rule,USE1-CW:ContributorRulesManaged,DynamoDB,,,,,us-east-1,AmazonCloudWatch,,,
E8CCM9AP7VGG6WJB,JRTCKXETXF,E8CCM9AP7VGG6WJB.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.50 per GB for the first 10TB of vended log data ingested to CloudWatch logs per month in US East (N. Virginia),2025-05-01,0,10240,GB,0.5000000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Elemental MediaTailor and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-MTLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
E8CCM9AP7VGG6WJB,JRTCKXETXF,E8CCM9AP7VGG6WJB.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.25 per GB for the next 20TB of vended log data ingested to CloudWatch logs per month in US East (N. Virginia),2025-05-01,10240,30720,GB,0.2500000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Elemental MediaTailor and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-MTLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
E8CCM9AP7VGG6WJB,JRTCKXETXF,E8CCM9AP7VGG6WJB.JRTCKXETXF.AMET9K77J3,OnDemand,$0.10 per GB for the next 20TB of vended log data ingested to CloudWatch logs per month in US East (N. Virginia),2025-05-01,30720,51200,GB,0.1000000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Elemental MediaTailor and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-MTLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
E8CCM9AP7VGG6WJB,JRTCKXETXF,E8CCM9AP7VGG6WJB.JRTCKXETXF.AQTKZ3QBDA,OnDemand,$0.05 per GB for over 50TB of vended log data ingested to CloudWatch logs per month in US East (N. Virginia),2025-05-01,51200,Inf,GB,0.0500000000,USD,SSNSJENVU973ECHE,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Ingested Logs,Logs generated by Elemental MediaTailor and delivered to CloudWatch-Standard as Vended Logs,USE1-VendedLog-Bytes-MTLogs,PutLogEvents,,,,Amazon CloudWatch Logs,us-east-1,AmazonCloudWatch,,,Current
EDDRQFQPARRD3RXJ,JRTCKXETXF,EDDRQFQPARRD3RXJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02 per 1,000 metrics requested using GetMetricWidgetImage API - US East (Northern Virginia),2025-05-01,0,Inf,Metrics,0.0000200000,USD,,API Request,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Requests,CloudWatch Image API Requests,CW:GMWI-Metrics,GetMetricWidgetImage,,,,,us-east-1,AmazonCloudWatch,,,
EQX872FAUQBWJM6K,JRTCKXETXF,EQX872FAUQBWJM6K.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.25 per GB of log data delivered to Kinesis Firehose for the first 10TB - US East (Northern Virginia),2025-05-01,0,10240,GB,0.2500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-FH-Egress-Bytes,,,,,Amazon Kinesis Data Firehose,us-east-1,AmazonCloudWatch,,,Current
EQX872FAUQBWJM6K,JRTCKXETXF,EQX872FAUQBWJM6K.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.15 per GB of log data delivered to Kinesis Firehose for the next 20TB - US East (Northern Virginia),2025-05-01,10240,30720,GB,0.1500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Log delivered from AWS services to log destinations other than CloudWatch,USE1-FH-Egress-Bytes,,,,,Amazon Kinesis Data Firehose,us-east-1,AmazonCloudWatch,,,Current
